Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Equivalent Perimeter [mym],Perimeter [mym],Feret_max [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
5435.5,83.19070588,261.3513105,27624.94688,187.5451273,589.1903943,669.506533,228.0956692,3453949.454,0.8800368106021315,0.8222213428290887
6015.0,87.51306109,274.9303898,30570.15095,197.2894449,619.8030708,723.518282,225.44,4020778.742,0.8566515682027656,0.8751306112746888
2222.0,53.18964437,167.100196,11292.91362,119.9107343,376.7106819,552.95747,135.4199841,902761.0427,0.6812652007127593,0.8854729608868653
11134.5,119.066728,374.0591579,56589.08491,268.4240315,843.2789656,906.0194411,275.9012917,10126580.21,0.9307515131480979,0.9728987854963945
3243.0,64.2581967,201.8730787,16481.96168,144.8636786,455.1026686,496.984264,160.6417033,1591758.401,0.9157285282009914,0.9017812660805354
4011.0,71.4630241029075,224.5077115250045,20385.18295296,161.10624153759466,506.1301848619701,1074.0329100765227,210.1632374145508,2189453.472405087,0.47124271529622813,0.7665767025648244
1673.5,46.16022506568068,145.01662395439385,8505.261448959998,104.06361138807053,326.9254770427855,406.3939830274582,115.3226854675293,590058.8147856739,0.804454521219367,0.9023689568638348
18111.5,151.85610957242022,477.0700382354421,92048.42708864,342.34441342006414,1075.5066941979806,1365.5188570985797,375.0620058349609,21008176.5186,0.7876176067485369,0.9127675106891698
3032.5,62.13774150554058,195.21147222446783,15412.133459199998,140.08332445009069,440.08474298284034,639.6248370355606,241.93252387695316,1439321.9278888078,0.6880357320433029,0.5790181584735464
12023.5,123.72871803313582,388.7052316109824,61107.26682495999,278.93402193390136,876.2970741437988,943.1838590688706,282.1087175415039,11363263.803249435,0.9290840441320702,0.9887465526224462
2559.5,57.08639605676338,179.34220247184516,13008.196401920002,128.69557127036737,404.3090612525278,467.5168490373611,170.23793587646483,1116064.8447614885,0.8648010485290932,0.7559746927603541
7662.0,98.77024547788072,310.2958775865705,38940.73093632,222.66764140533428,699.5310264311646,890.0784260639191,289.8256928955078,5780560.474793404,0.785920662659595,0.7682812354583541
4834.5,78.45684532927731,246.47944891028828,24570.47294592,176.87311211032278,555.6632696233539,694.2385690553665,261.9247753417969,2897237.3439782406,0.8003923930349063,0.6752820991428301
14813.0,137.33352604576191,431.4459965169481,75284.39667968,309.60470111756564,972.6518545478078,1128.7793700855254,328.4333936767578,15538935.421885716,0.8616846483242442,0.9426711993308352
32691.5,204.0198778960265,640.9473495844435,166148.64335743996,459.9424127288021,1444.9517049031697,1811.171443126488,567.578739428711,50945871.93162546,0.7977995183100164,0.8103587762849455
4078.0,72.05741366042771,226.3750413922805,20725.698350080005,162.44623335606823,510.3398933147572,625.2859720558166,249.9801635986328,2244541.087096383,0.8161703862264181,0.649836495094432
3442.5,66.20518962098664,207.98973734281088,17495.884396800004,149.2529794815523,468.8920638656329,547.9016610391617,196.0485386352539,1740875.2499248013,0.8557960254698305,0.7613062587486855
2700.0,58.6323014283504,184.19880743036796,13722.262272000002,132.18066034007313,415.2577914710215,498.53144003601074,177.5027309326172,1209211.7923150884,0.8329620925031848,0.7446683194426513
2565.5,57.15326807819532,179.55228712310645,13038.69031808,128.84632755548353,404.7826760903312,469.8376130319595,174.56935529785156,1119991.5757452317,0.8615374011420343,0.7380810184905875
6043.0,87.71651252093068,275.56955133427294,30712.455892480004,197.74810582718607,621.2439965279849,816.5231780567169,300.97464619140624,4048886.6520259473,0.7608406144777343,0.6570257937986819
7736.5,99.24927071693568,311.80077975846973,39319.36372864,223.7475559042598,702.9236778874941,881.6078350652695,285.33710255126954,5865074.355995868,0.7973201347915125,0.7841516364457254
1243.5,39.79036785301406,125.00512733066444,6319.86412416,89.7034052878349,281.8115590542499,368.4559770265579,140.7556944580078,377942.2219290481,0.7648445855824378,0.6372985876929935
16058.5,142.99061937459257,449.2182793594744,81614.42544255998,322.3580523180815,1012.7176889879988,1195.4112030904769,349.3892759277344,17539378.15114861,0.8471709871631089,0.9226329327427786
6667.0,92.13407645789547,289.4477377454047,33883.82317312,207.7070619666796,652.5309799732404,818.3907840576172,301.55733786621096,4691939.572991499,0.7973342230687928,0.6887813224390213
3037.0,62.18382826234397,195.3562580410692,15435.003896319997,140.18722243462824,440.4111481277863,620.5894700405121,241.3273349853516,1442526.8829951768,0.7096658409286841,0.5809007191130569
3535.5,67.09350497932843,210.7804623466484,17968.54009728,151.255597625398,475.1834743142841,534.8284190328598,191.7118217041016,1811894.847246676,0.888478355681935,0.7889737642723675
24900.0,178.05522925178454,559.3770001506527,126549.75206399996,401.40770882522304,1261.0595091396317,1407.098224093628,439.5744605712891,33865364.01894018,0.8962128496409224,0.9131734093548953
2228.5,53.26738519434111,167.34442600247974,11325.94869376,120.0859931821226,377.2612739799904,418.3732070310593,145.2407072631836,906725.1984132892,0.901733829126355,0.8268067227497085
22106.0,167.768392064523,527.0599480144776,112349.75177215996,378.2170630702606,1188.203946803838,1643.025246126938,464.0495404785156,28328395.434626102,0.7231805777816024,0.8150359607731822
58110.0,272.0072608305894,854.5360123484624,295333.5780096,613.2131688164808,1926.4659862383735,2258.7854861629485,713.3876390136719,120734959.48611742,0.8528769101978365,0.8595791898837888
8775.0,105.70088459918892,332.06912253475446,44597.352384,238.2920742404115,748.6166298423503,876.552026063919,286.32832166748045,7084797.070142613,0.8540470018692999,0.8322336849274221
1342.0,41.3362730423848,129.8617317167379,6820.4725811200005,93.1884939467523,292.7602879822139,326.55618002700805,119.55105284423828,423726.3785597942,0.8965081841599231,0.7794870202286427
23471.0,172.87048722809513,543.0886526982719,119287.11769855996,389.7192264070176,1224.339058642984,1322.6577700855255,408.75994704589846,30992322.153203767,0.9256657968023096,0.9534183307917329
23263.5,172.10464301972348,540.6826821594572,118232.53643136,387.99270722366464,1218.9150386602803,1373.122009091377,409.1960284179688,30582241.26128261,0.8876960900705838,0.9481829741205449
70957.5,300.5759388167079,944.2871612324246,360628.6759872,677.6183964683862,2128.800976282378,2409.216913167,728.8930373046875,162912416.7619758,0.883607019628629,0.9296540943429705
20130.0,160.09469708743893,502.9523242485814,102307.0887168,360.9174851139224,1133.8557197860018,1562.265030094528,481.7122980224609,24616278.11266293,0.7257768035154673,0.7492386775167897
11461.0,120.79982790637452,379.5038519055775,58248.46218496,272.3311320321307,855.5534837359338,941.5428320648192,312.5414835693359,10575246.43064061,0.9086718677042983,0.8713439538393797
