# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
20885.0,163.0693346150461,512.2974236524046,106144.2398336,367.6235079561599,1154.923311881981,26014078.531312,0.9180722456429928,0.9749575089754996,0.010944004973499807,0,0,3,3,3,5,1,1,2,1,5,6
20966.0,163.38525115480107,513.2899047328463,106555.90770176,368.33571020338354,1157.160761229729,26165563.95979597,0.92682846810003,0.9662705356488416,0.011007734206912624,0,0,3,3,3,5,1,1,2,3,5,6
21239.5,164.4474728002911,516.6269724508019,107945.92204672,370.7303826809763,1164.6838466930878,26679221.99282089,0.9213270737221972,0.898369430235675,0.011223827814123677,0,0,3,3,3,5,1,1,2,3,5,6
21315.0,164.73949403840598,517.5443842271558,108329.63715840004,371.38871536018246,1166.7520598017,26821603.186461914,0.918167265196466,0.9236827130657108,0.011283726937187547,0,0,3,3,3,5,1,1,2,3,5,6
21586.5,165.78535952376973,520.8300675526176,109709.48686463998,373.7465145103865,1174.159304290621,27335692.21625481,0.926554648122676,0.9191319803961238,0.011500001862786128,0,0,3,3,3,5,1,1,2,3,0,6
21671.0,166.109524633465,521.8484622797864,110138.94285056,374.4773123336834,1176.4551733635503,27496356.867967248,0.9108867526671708,0.9476961807302956,0.011567592753821923,0,0,3,3,3,5,1,1,2,3,0,6
21702.0,166.22829061216535,522.2215766059678,110296.49475071998,374.7450583560656,1177.2963223004938,27555377.574552026,0.9098643755693124,0.8727675763102298,0.01159242249767104,0,0,3,3,3,5,1,1,2,3,0,6
22056.5,167.58045237572048,526.4695180688177,112098.17696384,377.79337183582425,1186.8728815343425,28233298.83454536,0.9003446577088932,0.8924408913115977,0.01187762090022365,0,0,3,3,3,5,1,1,2,3,0,6
22203.0,168.13606874122763,528.2150383609091,112842.73675008002,379.0459533702236,1190.8079824808335,28515055.154892832,0.9266698333314878,0.9375653380202184,0.011996154507611902,0,0,3,3,3,5,1,1,2,3,0,6
22318.0,168.57093509676974,529.5812113087736,113427.20347647996,380.0263160821577,1193.8878827744993,28736881.52044533,0.9320080252593916,0.9365051949820542,0.012089475854548632,0,0,3,3,3,5,1,1,2,3,0,2
22476.5,169.16846227131074,531.458398290632,114232.75109504,381.3733813444429,1198.1198131064004,29043553.696929008,0.9220320405590204,0.985805357301651,0.012218491449724594,0,0,3,3,3,5,1,1,2,3,0,2
22478.5,169.17598856318045,531.4820428338785,114242.91573376,381.39034861683393,1198.1731173646956,29047430.305801537,0.9188846987415602,0.938682396363484,0.012220122321513122,0,0,3,3,3,5,1,1,2,3,0,2
22486.5,169.2060903829624,531.5766104897652,114283.57428864,381.4582101593504,1198.3863106881267,29062938.46583851,0.912198581635978,0.9125409824863198,0.012226646534176284,0,0,3,3,3,5,1,1,2,3,0,2
